Process,Total project,Project using latest,Total Dockerfile,Dockerfile using latest,Number of changes pinned to latest,Number of changes latest to pinned,File not found or error,Repo not found
457,122,34,300,116,0,1,0,77
419,117,37,257,47,0,0,0,79
472,130,34,177,39,1,1,0,84
468,127,38,205,52,0,0,0,68
422,129,36,210,77,1,2,0,82
377,129,33,165,40,1,2,0,71
440,124,39,198,49,1,0,0,50
462,114,34,172,36,3,0,0,73
415,132,53,336,115,1,2,0,54
466,124,37,176,58,1,2,0,69
379,107,32,248,59,0,1,0,74
455,126,33,259,62,0,3,0,85
421,142,45,271,75,4,3,0,53
469,139,49,243,65,1,2,0,57
477,131,42,236,66,0,1,0,64
406,133,39,189,44,1,2,0,68
438,108,33,141,40,1,1,0,81
432,123,39,164,45,0,0,0,69
491,128,39,194,43,0,2,0,55
470,123,38,167,54,1,1,0,80
478,118,31,229,31,0,1,0,69
484,122,38,362,41,0,0,0,67
437,134,44,366,203,3,4,0,52
425,99,32,201,39,1,2,0,84
498,128,39,214,55,0,0,0,43
480,140,50,253,62,1,2,0,59
485,112,27,148,28,0,0,0,57
443,132,38,180,39,1,2,0,69
439,131,30,169,38,0,1,0,49
494,125,39,210,62,0,1,0,64
490,124,35,150,41,1,3,0,56
394,110,29,219,59,2,0,0,80
452,119,35,158,36,0,3,0,84
381,125,42,234,44,1,2,0,43
500,114,26,141,27,0,1,1,58
430,140,46,219,92,1,3,0,67
441,141,40,252,49,0,2,0,59
444,129,31,228,61,1,2,0,56
473,124,32,167,36,0,4,0,95
497,111,36,236,84,1,0,0,68
486,144,41,163,42,2,2,0,58
416,133,37,189,39,1,5,0,65
495,136,39,295,78,1,1,0,57
459,126,46,226,72,3,4,0,77
426,106,20,214,30,0,1,0,80
481,137,39,159,42,1,1,0,48
467,117,24,205,43,1,2,0,83
396,120,40,187,43,0,1,0,82
492,119,40,201,54,1,0,0,61
435,116,33,185,55,2,3,0,77
446,131,45,221,68,2,1,0,69
424,135,46,211,65,0,1,0,79
505,136,35,214,47,0,1,0,59
465,136,49,176,59,0,0,0,38
482,126,32,268,59,0,2,0,65
501,105,24,167,31,1,1,0,60
479,133,40,195,51,1,1,0,49
447,134,46,325,86,1,1,0,69
506,147,40,208,53,2,1,0,57
476,125,37,152,43,1,2,0,80
502,135,39,210,45,1,2,0,52
507,122,31,282,99,0,0,0,67
504,132,34,234,52,3,2,0,53
489,117,41,165,69,1,0,0,52
483,125,38,266,60,2,3,0,38
464,122,44,176,49,1,4,0,66
511,119,36,158,46,3,4,0,50
503,116,32,285,67,1,2,0,71
487,154,44,413,68,1,3,0,46
496,135,39,325,42,1,1,0,53
509,133,33,203,45,1,1,0,52
513,119,36,173,43,1,2,0,58
515,123,46,144,48,1,2,0,64
493,133,40,276,53,0,3,0,45
448,132,35,273,41,1,5,0,78
499,128,42,159,50,0,1,0,50
514,124,40,223,64,0,6,0,66
442,124,38,178,63,1,3,0,57
528,122,34,225,59,0,0,0,59
527,136,46,143,49,0,1,0,52
516,130,41,493,287,0,2,0,64
264,117,33,415,218,0,0,0,89
520,136,31,229,55,1,1,0,56
512,131,49,172,63,3,6,0,60
529,133,31,234,40,0,1,0,48
533,137,40,218,45,1,1,0,56
519,129,35,290,53,2,1,0,66
525,120,31,156,36,0,0,0,64
508,128,39,400,208,0,0,0,72
537,110,28,150,42,2,1,0,72
523,123,33,165,38,1,2,0,58
517,125,37,192,54,2,2,0,67
546,131,46,180,56,0,1,0,62
524,135,40,207,47,2,2,0,56
522,133,34,191,43,0,3,0,48
549,116,32,138,35,0,0,0,83
530,120,41,181,62,3,2,0,77
538,132,46,214,77,1,0,0,56
542,130,39,207,44,0,0,0,61
545,120,29,144,30,1,3,0,74
555,131,45,272,65,0,0,0,62
526,130,40,294,80,2,3,0,74
543,124,40,139,40,0,0,0,67
539,122,39,151,43,0,2,0,63
